white_label,black_label,white_wins,black_wins,draws,games,white_win_pct,draw_pct
L2,L1,358,0,8,366,97.81420765027322,2.185792349726776
L3,L1,404,45,37,486,83.1275720164609,7.613168724279835
L3,L2,324,197,183,704,46.02272727272727,25.994318181818183
L3,L3,1,5,14,20,5.0,70.0
L3,Ultimate,2,3,0,5,40.0,0.0
MCTS,L1,1,0,219,220,0.45454545454545453,99.54545454545455
MCTS+CNN,L1,0,0,10,16,0.0,62.5
Ultimate,L1,10,0,0,10,100.0,0.0
Ultimate,L2,4,3,4,11,36.36363636363637,36.36363636363637
Ultimate,L3,70,128,193,416,16.826923076923077,46.394230769230774
